928 2754
101 556 74
478 202 73
112 530 385
859 333 625
556 77 89
323 94 121
624 341 870
614 223 880
878 852 498
695 507 993
10 63 331
825 250 226
435 768 753
656 692 472
13 121 762
857 422 224
482 313 868
385 912 169
184 82 250
500 909 106
748 336 498
180 923 665
554 699 385
479 66 781
381 579 843
755 489 425
428 76 458
308 495 338
707 691 668
279 67 134
447 22 302
64 877 242
324 553 369
5 39 499
123 631 523
345 408 668
487 836 69
366 184 766
573 124 749
317 610 122
232 733 673
243 545 667
448 864 28
904 311 104
624 762 516
67 449 755
209 608 617
354 471 761
492 152 411
294 307 267
650 47 481
320 693 11
768 645 256
148 920 88
348 356 502
499 195 602
509 891 783
113 781 716
270 77 598
701 787 468
742 180 985
237 229 626
720 863 716
524 857 52
458 530 61
597 144 333
801 562 558
416 247 122
628 668 466
174 15 496
623 865 389
755 723 734
190 775 169
8 532 627
819 42 205
864 598 648
617 291 707
9 267 38
218 815 539
382 707 134
356 118 597
33 887 98
140 149 56
778 175 770
274 98 970
81 622 587
922 19 633
651 843 797
503 513 823
167 695 483
199 95 96
371 122 925
427 504 291
309 832 46
212 155 901
424 223 829
136 20 105
855 791 799
474 668 4
716 683 975
223 786 48
867 142 218
298 554 539
175 429 713
567 747 615
482 230 904
405 241 574
842 902 440
792 67 398
293 507 849
645 909 584
258 491 12
101 108 609
735 31 384
349 906 266
490 921 164
71 512 595
916 901 770
498 497 877
869 821 22
255 241 349
698 357 247
272 838 999
690 255 36
342 498 428
880 398 31
841 310 299
276 466 552
228 811 935
70 368 284
133 211 480
882 769 865
214 350 819
195 435 534
194 438 783
570 609 265
862 835 406
788 837 605
303 646 512
714 278 870
532 227 822
89 370 695
875 243 682
361 308 55
451 580 540
195 556 252
342 877 753
136 125 863
120 602 4
437 669 114
62 285 279
142 547 967
515 830 290
58 919 371
769 652 174
874 785 589
610 531 583
249 307 340
105 388 723
720 730 541
340 283 327
723 308 132
450 427 791
383 229 210
273 703 865
414 182 730
463 605 807
119 369 604
855 128 594
271 748 585
208 381 300
437 457 82
610 169 6
747 634 661
536 856 850
448 756 647
383 267 654
169 912 264
395 835 543
903 92 669
295 57 353
271 334 506
670 641 245
463 283 995
903 356 173
723 621 912
108 654 486
823 434 770
369 761 74
348 312 49
261 331 305
138 283 299
95 388 468
724 187 370
91 644 111
519 704 355
224 629 433
918 219 875
134 708 723
186 658 54
920 663 901
451 26 617
739 497 548
406 741 84
874 878 329
324 418 345
372 730 839
607 364 336
254 778 321
410 484 908
364 66 121
771 549 890
465 248 311
692 192 607
20 798 810
428 287 360
747 58 337
257 838 700
183 464 133
712 896 328
531 558 432
398 890 692
603 491 351
814 902 75
556 877 710
539 107 229
189 857 640
353 477 647
518 616 721
135 677 859
870 799 878
237 64 177
522 279 864
846 398 274
800 553 223
32 890 901
691 374 737
417 503 574
127 605 443
249 730 289
1 115 438
253 920 368
720 692 731
238 90 739
172 14 296
171 190 69
902 559 558
550 158 11
396 255 495
180 543 385
815 144 998
21 603 539
85 763 789
124 92 924
744 518 545
25 736 297
455 296 97
641 618 300
1 896 944
879 864 146
617 626 613
660 631 699
341 699 702
904 757 622
755 713 330
203 512 895
156 425 538
844 693 228
411 925 80
370 392 227
667 826 679
514 277 392
302 591 486
525 351 245
549 268 492
150 260 393
902 548 261
389 860 453
151 366 809
222 309 383
399 98 865
528 522 78
681 338 621
159 911 93
640 205 438
860 253 108
622 716 939
141 630 760
604 689 546
761 907 175
926 501 429
431 200 353
558 430 834
482 298 9
476 700 832
842 449 322
860 414 90
788 832 474
822 79 20
483 532 711
125 325 147
838 42 798
724 93 880
430 166 789
791 587 104
530 135 138
166 462 320
583 399 304
136 246 605
829 812 173
638 190 268
689 777 900
723 262 112
685 274 806
873 778 840
711 640 574
226 60 481
199 183 334
416 827 971
865 873 342
121 924 976
3 509 558
699 216 556
575 81 912
413 422 745
347 66 293
129 485 552
682 386 689
920 918 140
559 873 588
715 365 742
70 906 748
351 385 824
890 109 655
365 776 54
207 626 202
322 551 155
745 411 32
526 381 651
690 107 517
781 56 270
811 486 293
167 116 538
324 494 430
505 51 897
386 37 249
144 41 584
653 42 891
538 18 398
614 368 720
549 538 815
111 567 843
535 113 211
271 59 16
521 776 789
392 383 871
324 736 788
132 626 192
218 625 814
796 433 819
558 14 127
81 661 756
906 211 785
512 500 109
320 408 948
33 457 72
151 40 97
80 47 444
897 277 700
278 348 563
638 466 293
828 150 218
851 492 957
128 856 157
74 582 51
40 404 9
686 142 717
756 554 801
388 795 813
249 556 724
756 325 375
306 397 568
329 625 224
745 502 988
188 91 16
242 629 947
717 343 503
130 389 84
245 304 611
536 48 673
560 842 782
921 592 964
767 827 901
517 621 797
464 403 889
309 663 951
20 273 9
97 338 716
664 779 680
896 561 801
134 305 954
369 24 376
701 504 553
40 813 842
556 400 275
795 280 642
425 553 686
861 194 226
891 682 743
288 776 409
359 106 11
246 29 712
679 195 100
468 587 789
725 794 946
309 357 60
773 24 705
179 389 357
387 873 144
400 439 397
539 732 991
279 432 8
345 180 271
735 458 878
185 647 896
182 798 770
861 654 683
461 188 697
891 62 271
525 354 502
820 275 887
871 569 236
475 469 281
106 804 86
728 842 374
185 123 788
826 422 608
580 516 985
263 873 385
440 247 351
739 10 378
488 527 880
900 133 17
901 368 926
222 723 93
380 173 85
609 625 567
653 515 4
281 854 537
775 628 767
478 568 500
835 63 190
240 376 391
859 82 743
380 532 291
130 611 776
712 618 241
877 123 764
823 599 994
98 622 31
125 723 300
87 513 919
799 537 595
240 553 511
566 877 251
714 367 844
239 469 447
861 797 503
871 441 381
671 778 722
466 284 674
167 804 624
915 349 918
901 104 197
789 645 360
85 550 855
171 396 858
610 631 669
11 726 850
647 313 277
90 873 993
617 249 372
651 829 498
505 273 577
726 539 517
300 39 598
400 359 648
27 665 957
713 193 273
751 93 918
571 738 606
872 528 998
621 184 214
91 757 572
716 821 281
173 185 200
366 879 62
214 119 949
283 644 777
253 310 420
444 131 897
203 611 585
579 600 850
241 826 923
542 392 249
799 87 214
509 770 450
818 485 767
500 387 794
374 573 566
922 672 910
134 108 599
484 699 41
462 512 44
760 24 44
565 674 534
625 193 112
219 739 268
473 826 452
432 374 501
148 309 86
582 530 247
291 144 212
360 840 378
176 852 873
13 609 420
721 545 734
140 516 674
443 419 650
230 295 810
360 396 251
432 219 981
417 904 254
112 361 936
190 491 507
67 731 399
148 204 480
433 308 834
217 718 776
401 129 110
889 754 803
314 920 503
808 358 486
645 163 622
368 906 613
457 75 954
346 676 856
394 795 316
648 927 297
226 523 135
297 358 258
775 594 739
877 788 46
391 867 904
659 325 597
843 642 276
574 426 81
172 245 693
536 760 853
541 519 192
620 219 119
79 254 849
2 686 809
620 45 75
843 659 745
587 427 678
771 547 973
319 290 464
311 633 423
130 210 491
194 686 522
100 528 928
381 666 60
260 890 882
878 540 262
423 352 491
736 104 762
79 530 490
380 420 607
571 750 722
110 112 250
613 504 987
394 152 101
123 29 332
471 557 23
159 124 300
177 853 8
714 832 380
442 139 268
67 179 708
586 80 377
574 52 554
207 64 450
804 277 157
672 247 316
888 546 824
698 460 654
511 216 968
598 87 592
241 479 274
280 830 747
909 157 502
140 576 318
482 547 518
902 726 45
601 146 845
752 398 542
678 846 977
791 260 363
690 753 131
682 406 301
732 704 843
299 267 742
501 600 784
204 497 970
507 484 1
47 105 434
479 482 934
905 831 940
141 204 197
298 197 254
644 231 179
111 782 263
552 46 646
68 207 456
539 581 348
572 813 622
100 648 702
676 383 918
75 915 730
349 389 483
724 438 727
245 90 616
507 782 982
57 889 67
149 650 133
775 855 649
487 238 557
58 728 467
104 417 451
219 430 7
566 54 541
441 789 248
631 26 488
166 756 449
100 680 858
484 801 142
770 504 355
184 854 440
910 476 422
851 291 819
834 581 100
369 446 865
815 198 555
927 695 768
396 151 901
288 330 92
426 548 353
132 761 434
589 368 717
676 304 781
882 642 953
233 531 140
859 490 45
216 346 255
846 509 579
595 172 568
400 102 154
882 701 380
676 458 360
888 690 363
591 918 484
470 753 738
795 860 611
198 260 83
833 574 209
736 116 1000
233 732 836
881 742 191
912 843 116
885 161 792
73 514 997
135 142 734
845 165 136
142 283 538
799 591 19
334 819 849
47 179 901
269 188 297
344 652 841
743 307 170
9 162 216
758 486 294
690 81 576
103 871 485
635 50 393
693 80 683
723 349 363
550 745 775
102 124 742
128 505 30
574 326 5
69 3 62
820 13 865
819 624 126
10 544 582
682 105 20
323 812 221
440 430 43
629 817 849
151 257 295
153 529 82
754 64 775
43 9 935
310 23 995
430 806 56
283 234 85
360 387 728
739 839 58
287 395 32
928 603 31
5 609 242
702 144 340
885 50 824
682 28 664
290 668 483
893 800 174
877 870 843
631 46 36
259 842 999
360 584 323
319 612 954
803 287 285
101 100 551
451 689 521
493 729 136
87 710 836
275 321 922
155 544 270
319 152 684
658 288 223
511 420 156
548 870 927
712 847 342
167 233 37
91 375 848
615 136 221
356 702 346
307 73 511
12 689 515
671 861 723
648 369 171
243 296 150
127 311 706
905 209 411
288 487 917
149 913 969
602 40 493
348 286 698
385 659 354
533 201 513
126 17 481
486 507 31
87 593 22
411 461 103
913 810 79
539 679 712
85 588 704
797 409 216
800 761 55
258 340 204
802 517 649
354 108 752
636 140 55
388 547 905
377 896 84
478 87 150
664 25 175
462 273 444
603 59 155
703 125 358
685 167 202
354 319 493
649 651 302
548 608 358
209 356 866
645 825 293
419 824 554
861 330 292
53 507 789
892 508 270
441 458 789
384 55 341
707 30 620
133 54 250
301 867 650
259 388 112
364 133 109
395 177 777
275 15 168
599 341 310
148 666 969
713 720 216
510 361 517
356 768 315
825 184 161
713 884 47
15 722 165
412 172 679
763 452 479
710 24 397
77 709 122
453 512 7
589 334 824
566 80 276
541 691 256
330 895 730
266 220 329
705 534 363
549 25 296
239 357 899
457 217 200
93 765 41
446 89 325
399 896 162
889 296 577
36 203 32
688 507 925
803 8 714
548 178 389
149 534 748
560 628 279
533 415 228
279 442 78
680 34 222
124 358 276
774 319 271
278 345 171
562 862 632
852 312 67
182 54 137
169 347 528
319 730 573
864 167 463
844 138 250
538 140 654
18 452 492
545 832 923
196 864 94
878 341 351
798 912 420
854 214 935
444 371 679
801 505 453
496 424 836
908 204 301
219 362 540
735 863 650
801 513 447
139 822 291
903 293 179
597 212 416
616 911 606
35 163 20
598 224 826
312 432 37
840 799 47
102 870 321
166 33 883
580 728 124
316 515 269
602 189 317
113 287 126
500 661 484
753 225 722
222 644 215
690 808 639
831 342 485
57 464 694
510 842 801
720 373 577
869 450 733
560 298 112
89 705 782
552 653 961
893 89 556
844 817 786
93 576 500
351 493 156
59 314 991
522 832 174
424 383 526
509 489 107
650 724 132
555 246 146
869 403 176
630 223 524
695 889 487
452 90 582
476 370 895
310 15 84
448 713 940
707 467 553
633 578 653
651 90 326
8 228 104
243 93 681
3 238 841
35 329 278
431 541 367
211 65 912
179 322 511
151 350 72
429 555 227
256 254 882
553 628 810
393 754 293
168 207 318
249 633 357
9 607 887
255 261 229
743 467 432
55 848 657
683 721 510
327 59 670
684 592 239
348 318 509
328 805 904
179 422 103
341 756 272
482 435 389
889 7 370
888 623 842
839 175 362
426 532 19
654 519 403
570 141 534
771 541 536
846 7 110
113 376 666
723 141 580
861 265 341
363 3 269
587 177 10
20 834 412
420 636 416
1 544 540
324 909 977
483 160 3
871 171 979
525 121 504
48 156 705
424 281 184
644 145 209
228 420 944
429 813 455
17 508 454
160 766 546
693 141 423
595 103 864
472 647 698
156 638 187
872 394 993
781 511 16
604 401 680
749 881 998
631 503 275
164 462 542
209 367 767
274 271 499
770 707 1000
567 402 837
136 104 229
322 705 761
19 161 917
263 347 753
110 13 613
539 273 654
285 298 698
275 405 355
568 768 49
498 494 263
503 724 211
45 419 845
301 246 26
140 531 974
698 630 723
843 568 761
770 528 843
301 678 645
569 639 89
291 658 882
553 86 570
172 616 422
745 585 738
28 363 245
523 465 326
785 45 897
791 597 156
768 724 441
614 503 508
655 908 227
923 523 567
908 22 836
426 518 801
280 722 464
324 531 192
909 28 690
297 473 432
377 615 192
290 689 598
512 472 971
497 418 523
267 887 807
539 891 439
262 343 431
639 503 874
692 67 132
351 895 988
701 165 938
562 420 8
881 910 241
200 311 191
715 866 341
640 454 43
150 670 369
509 160 299
243 45 568
512 171 654
800 583 895
23 415 793
708 752 956
793 5 275
778 603 254
260 332 677
719 879 3
40 321 168
181 354 153
345 526 246
152 46 189
612 690 514
570 861 957
319 205 550
570 528 401
167 805 773
375 252 400
177 697 658
248 908 566
444 59 756
250 499 333
206 94 14
617 254 832
900 751 928
834 310 738
880 764 589
328 696 450
277 758 17
918 434 273
116 398 692
431 792 780
140 202 514
277 538 482
398 473 982
786 426 592
608 198 594
769 600 543
536 157 715
719 121 930
412 903 491
918 72 206
701 32 904
675 872 371
924 447 984
152 277 180
360 223 753
312 544 891
763 649 996
215 665 886
707 316 496
471 824 827
895 592 916
772 645 668
789 40 609
40 672 373
177 9 672
923 440 509
415 43 793
92 86 706
281 174 261
158 114 358
816 649 538
232 418 432
790 759 873
125 217 951
707 466 965
255 153 885
653 927 28
858 114 450
363 767 232
392 788 39
735 858 263
669 353 570
346 594 413
48 333 785
507 704 705
396 902 481
237 574 832
8 881 341
255 331 209
790 797 652
580 113 277
883 320 836
348 492 936
25 821 617
217 251 527
718 356 118
751 338 304
116 112 103
79 282 121
101 661 831
99 917 950
329 173 92
332 831 24
743 346 701
193 66 941
839 883 990
910 786 117
814 608 284
813 778 51
847 690 570
85 129 820
742 22 799
375 212 630
869 711 473
391 912 322
640 524 762
503 778 487
506 439 831
491 137 928
515 866 767
226 225 981
138 444 990
258 530 853
96 633 12
135 804 427
379 174 41
680 797 460
749 730 271
19 745 805
825 474 833
8 648 560
639 834 546
910 654 424
509 693 111
792 525 712
487 844 117
905 16 273
404 626 392
219 763 293
168 30 963
274 345 407
635 621 817
297 656 520
361 220 1000
396 722 646
335 281 92
27 847 337
337 177 517
352 53 870
915 503 120
45 519 709
207 224 845
775 146 715
852 200 568
471 883 343
840 852 85
752 493 667
824 151 459
652 104 711
759 466 60
764 399 613
396 105 56
546 179 120
142 91 557
289 428 966
85 86 350
605 731 800
629 700 770
43 179 431
271 821 402
158 507 723
198 106 125
678 430 346
332 587 342
738 250 996
562 772 151
698 585 783
479 231 670
144 521 818
11 570 210
229 120 397
593 913 973
626 514 192
773 551 830
437 812 101
451 365 437
144 211 943
169 759 138
815 762 248
195 779 301
26 384 88
901 262 809
596 151 167
685 728 238
501 798 381
405 712 583
677 645 276
596 256 112
420 572 424
415 377 653
266 66 686
41 639 629
730 330 478
585 296 54
211 87 591
755 710 279
869 420 858
44 271 429
172 692 746
418 30 235
270 62 338
714 92 364
14 636 142
667 923 880
256 253 524
581 284 37
90 677 566
11 371 235
367 720 205
180 93 168
92 142 98
733 414 542
319 814 166
263 644 498
205 482 829
776 897 360
159 248 426
422 613 501
701 719 979
206 543 63
119 386 710
546 344 362
94 338 882
759 353 345
805 65 725
850 813 197
847 831 191
895 137 528
536 787 464
769 661 836
671 495 263
618 632 654
740 500 466
181 270 872
37 411 860
277 254 518
278 747 152
37 839 649
326 696 693
894 758 584
670 304 564
318 71 663
365 401 918
850 291 273
693 435 65
128 360 977
38 623 689
509 126 382
401 19 840
576 237 614
332 118 537
480 242 999
743 176 533
271 106 767
32 164 820
915 427 319
85 264 7
693 459 357
472 907 972
809 556 522
611 662 77
376 341 676
418 697 189
57 918 705
542 449 767
859 509 193
287 49 778
364 827 899
545 157 685
925 690 225
612 490 68
611 388 377
818 415 803
920 89 135
750 301 939
268 871 115
126 587 687
849 236 755
3 638 594
483 334 852
401 409 668
574 571 630
518 247 448
351 112 199
808 712 905
783 468 400
105 222 735
762 147 693
42 292 574
407 505 366
878 33 960
375 23 94
656 744 565
378 717 484
479 104 852
187 180 913
647 703 517
177 819 491
642 12 630
91 46 936
503 465 465
85 813 8
252 255 84
43 842 725
39 513 622
65 770 235
878 687 132
203 379 652
903 797 854
898 227 386
818 912 936
874 243 985
776 127 76
854 831 997
84 94 966
475 878 427
49 783 791
675 916 902
882 67 220
557 148 79
766 927 693
528 479 743
742 457 464
586 401 575
157 88 821
479 179 404
108 198 817
811 269 520
516 22 353
385 440 837
103 597 290
778 316 382
181 351 663
713 755 276
28 341 289
630 305 310
93 449 599
623 170 715
899 539 512
472 456 475
881 384 329
324 32 377
68 803 640
748 865 356
45 273 482
832 805 764
903 505 175
403 395 746
723 160 630
332 425 633
447 201 896
25 592 448
518 489 389
377 291 122
426 83 747
357 846 883
20 681 235
731 399 614
422 834 749
666 34 242
830 903 287
908 271 356
80 576 122
886 692 957
671 176 51
91 66 140
232 859 183
547 916 80
124 520 609
756 581 396
600 24 748
637 288 7
385 543 115
77 259 967
346 251 61
443 450 197
413 589 903
779 289 682
677 521 223
445 14 36
109 466 759
164 478 227
654 199 578
799 647 588
816 777 791
292 42 771
760 439 719
100 11 420
290 390 278
196 602 703
687 93 478
740 403 870
128 512 976
164 276 657
920 273 949
213 266 650
799 634 58
477 82 545
243 776 74
738 879 119
583 483 456
109 91 466
822 791 756
335 915 546
128 167 538
923 790 462
196 105 955
343 266 531
824 417 364
573 97 211
819 321 599
455 642 1000
795 65 93
123 512 223
497 607 751
771 247 911
862 325 279
197 98 268
60 150 516
317 515 114
260 571 95
405 508 626
585 749 57
97 388 427
268 22 608
30 172 381
733 633 27
861 157 180
794 206 781
405 809 555
812 787 371
187 459 234
646 119 974
882 228 787
76 92 156
564 97 958
78 14 340
171 859 407
269 41 977
861 491 482
525 656 225
370 583 692
5 566 883
577 377 745
291 147 807
172 319 502
41 549 175
774 792 134
372 684 274
60 245 724
629 18 805
844 77 344
